cp,lat,lon,display
11700,19.4046058,-99.2456485,"11700, Ciudad de México, Miguel Hidalgo, Ciudad de México, México"
11850,19.4117367,-99.1867239,"11850, Ciudad de México, Miguel Hidalgo, Ciudad de México, México"
11930,19.4033513,-99.2338037,"11930, Ciudad de México, Miguel Hidalgo, Ciudad de México, México"
11950,19.3985018,-99.2292895,"11950, Ciudad de México, Miguel Hidalgo, Ciudad de México, México"
13210,19.2998701,-99.0587591,"13210, Ciudad de México, Tláhuac, Ciudad de México, México"
14000,19.2872828,-99.1690726,"14000, Ciudad de México, Tlalpan, Ciudad de México, México"
14220,19.2752585,-99.2184944,"14220, Ciudad de México, Tlalpan, Ciudad de México, México"
15530,19.4302122,-99.097691,"15530, Ciudad de México, Venustiano Carranza, Ciudad de México, México"
16020,19.2741611,-99.13338,"16020, Ciudad de México, Xochimilco, Ciudad de México, México"
16030,19.2656971,-99.1243661,"16030, Ciudad de México, Xochimilco, Ciudad de México, México"
16050,19.261006,-99.1157165,"16050, Xochimilco, Ciudad de México, México"
22056,32.5111109,-117.0430483,"22056, Municipio de Tijuana, Baja California, México"
22465,32.5161735,-116.9726008,"22465, Delegación Mesa de Otay, Tijuana, Municipio de Tijuana, Baja California, México"
22760,31.9071238,-116.6932673,"22760, Ensenada, Municipio de Ensenada, Baja California, México"
23090,24.1425158,-110.3400326,"23090, Municipio de La Paz, Baja California Sur, México"
23450,22.882781,-109.9111632,"23450, Centro, Cabo San Lucas, Municipio de Los Cabos, Baja California Sur, México"
26000,27.0601841,-100.7544392,"26000, Lampazos de Naranjo, Nuevo León, México"
26850,15.8631,-92.8316,Comercial
28869,19.1059924,-104.3272156,"28869, Manzanillo, Colima, México"
36300,21.0195862,-101.8562411,"36300, San Francisco del Rincón, Guanajuato, México"
36418,21.0543389,-101.8723557,"36418, Purísima del Rincón, Guanajuato, México"
37204,21.1528439,-101.6597464,"37204, León, Guanajuato, México"
37490,21.085246,-101.6965499,"37490, León, Guanajuato, México"
39890,16.7998304,-99.7989602,"39890, Acapulco de Juárez, Guerrero, México"
42083,20.0812264,-98.7711275,"42083, Pachuca de Soto, Hidalgo, México"
42400,20.380867,-99.6595338,"42400, Huichapan, Hidalgo, México"
43642,20.0848368,-98.3820415,"43642, Tulancingo de Bravo, Hidalgo, México"
43998,20.3304,-98.9627,Zona Industrial
45086,20.6378838,-103.4054991,"45086, Zapopan, Región Centro, Jalisco, México"
45130,20.7450496,-103.3954246,"45130, Zapopan, Región Centro, Jalisco, México"
45234,20.59004,-103.4291463,"45234, Zapopan, Región Centro, Jalisco, México"
45403,20.6325431,-103.2816429,"45403, Tonalá, Región Centro, Jalisco, México"
45500,20.6296403,-103.3133873,"45500, San Pedro Tlaquepaque, Región Centro, Jalisco, México"
50200,19.3399713,-99.6181868,"50200, Toluca, Estado de México, México"
52315,19.123199,-99.5840189,"52315, Tenango del Valle, Estado de México, México"
52765,19.3845058,-99.2851473,"52765, Huixquilucan, Estado de México, México"
52789,19.386968,-99.2774207,"52789, Huixquilucan, Estado de México, México"
52795,19.3804867,-99.3710603,"52795, Huixquilucan, Estado de México, México"
52910,19.5913,-99.5974,Hogares de Atizapan
52916,19.5913,-99.5974,Los Olivos
52920,19.7146,-99.8129,Las Peñitas
52924,19.6025313,-99.2219224,"52924, Atizapán de Zaragoza, Estado de México, México"
52928,19.7146,-99.8129,Ejido San Miguel
52930,19.5563463,-99.294472,"52930, Atizapán de Zaragoza, Estado de México, México"
52937,19.5707066,-99.300697,"52937, Atizapán de Zaragoza, Estado de México, México"
52947,19.1333,-100.05,Pedregal
52950,19.5571686,-99.2160957,"52950, Tlalnepantla de Baz, Estado de México, México"
52966,19.6664,-99.4853,Mexico Nuevo
52971,,,
52977,19.5556043,-99.2576357,"52977, Atizapán de Zaragoza, Estado de México, México"
52980,19.3754,-99.4416,San Martin Calacoaya
53020,19.5789,-99.6108,Santa Maria Nativitas
53050,19.4810051,-99.233828,"53050, Naucalpan de Juárez, Estado de México, México"
